#### StabiCollection #### StabiCollection
27543	283039
36745	290025
58453	283043
87298	289742
259646	289119
35093	284650
22863	289746
34870	290033
36882	281465
101488	288482
36696	282126
31794	280834
37240	279907
35014	286566
35583	288802
37025	284339
35960	284343
172492	290045
98286	283059
165721	290049
260111	289123
90980	288156
36316	284658
260120	289750
36241	286897
260129	280842
260138	280846
38860	285281
176694	285285
72545	283063
36185	281156
36575	285289
260146	284347
31672	285916
37739	285920
89861	285924
176778	285928
180743	290053
86328	290057
260150	283397
90658	282754
58423	281811
181058	288490
105948	282423
35526	287199
74078	282431
260158	279911
181096	281477
31606	281481
31568	289754
27872	290069
36938	280221
4836	288502
34668	288810
76866	288814
102230	282766
76888	283405
74070	287860
73757	284666
182685	284670
260162	290085
260170	290089
1102	290093
172888	281164
260174	282770
34806	282774
28088	281168
36713	290097
37323	286905
34551	284351
35943	283717
98095	286582
260178	280858
260182	285948
182770	285621
260186	290109
260190	284355
260194	289135
36114	285309
85003	285313
31630	285317
157290	283087
37153	283091
37213	286590
172952	286385
86871	283095
64406	283099
102590	287544
82615	283721
58245	283725
179791	281489
179550	281493
12419	281497
95861	282439
36429	284999
36099	282443
74237	288822
36065	290113
74822	285960
87549	285625
83765	285629
36733	286275
19259	281172
260198	281176
34986	281180
88041	284674
260202	280533
36550	290117
260206	284359
37228	280541
39880	284363
36318	280545
36597	280862
35035	290121
58328	287219
80831	287223
58354	287227
74277	287231
36529	290141
36380	290145
69450	286279
200246	285964
260222	284678
81178	286594
260226	289766
199952	280229
262557	289139
87212	290125
99059	290129
64270	290133
81811	287864
65785	288506
36645	290149
